iter	Logloss
0	0.6793500141
1	0.658437166
2	0.6386771653
3	0.6242296279
4	0.6108165402
5	0.598176273
6	0.5850018171
7	0.5741709624
8	0.5647431294
9	0.5553727901
10	0.5468545821
11	0.5372446492
12	0.5304867108
13	0.5238278452
14	0.5179655846
15	0.5106846938
16	0.5037215706
17	0.498888207
18	0.4942651874
19	0.4895987524
20	0.4857965595
21	0.4805627511
22	0.4782474813
23	0.4746416852
24	0.4711894388
25	0.4680250982
26	0.4656001312
27	0.4615875506
28	0.4593987233
29	0.4572738167
30	0.4549535188
31	0.4528261201
32	0.4504374419
33	0.4497782972
34	0.4473974015
35	0.4452790094
36	0.4428418441
37	0.4417010201
38	0.4398939247
39	0.4393921773
40	0.4378617076
41	0.4364098492
42	0.4356012645
43	0.4345939658
44	0.4329416007
45	0.431578934
46	0.4304990577
47	0.4295291846
48	0.4287505054
49	0.4277662042
50	0.4270833625
51	0.4261857609
52	0.4251077647
53	0.4240776871
54	0.4236811335
55	0.4229131223
56	0.4223693148
57	0.4216446754
58	0.4213178575
59	0.4207966977
60	0.4201496638
61	0.4197210186
62	0.4189434762
63	0.418070621
64	0.4173356633
65	0.4165166729
66	0.4155633702
67	0.4146207356
68	0.4139635146
69	0.4132895483
70	0.412658604
71	0.4121138346
72	0.4115990144
73	0.4108234832
74	0.4105766755
75	0.4102784952
76	0.4097011971
77	0.4093390959
78	0.4090046705
79	0.4085093501
80	0.4078019369
81	0.4073355164
82	0.4071778568
83	0.406950855
84	0.4064993872
85	0.4062458465
86	0.4059295217
87	0.4056842006
88	0.4056677176
89	0.4054961546
90	0.4052367989
91	0.4049962872
92	0.404744233
93	0.4044334608
94	0.4044289575
95	0.4040742453
96	0.4037818362
97	0.4036141207
98	0.4032660979
99	0.4031605543
100	0.402981821
101	0.4023344811
102	0.4018648251
103	0.401739432
104	0.4016644934
105	0.4014770158
106	0.4011315726
107	0.4009482485
108	0.4008841091
109	0.4006941831
110	0.400386384
111	0.400185309
112	0.3999614114
113	0.3996805885
114	0.3995927958
115	0.3994302394
116	0.399122965
117	0.3989914509
118	0.3985264294
119	0.3984272692
120	0.3981041676
121	0.3980939805
122	0.3980113032
123	0.3977247528
124	0.3972711426
125	0.3970378887
126	0.3968992916
127	0.3968142097
128	0.3963949209
129	0.3960320328
130	0.3957117294
131	0.3956036937
132	0.3953578479
133	0.3949314325
134	0.3947389269
135	0.3946559873
136	0.394483375
137	0.3942403711
138	0.39391281
139	0.3938830357
140	0.3938385272
141	0.3937010232
142	0.3935277551
143	0.393506419
144	0.3935053697
145	0.3933530441
146	0.3932856256
147	0.3929867458
148	0.3927747841
149	0.3926880845
150	0.39261061
151	0.3926027839
152	0.3924041136
153	0.3921235967
154	0.3920509317
155	0.3919330586
156	0.3917799023
157	0.3917534071
158	0.3916759764
159	0.3916013002
160	0.3915001724
161	0.3912606226
162	0.3912513973
163	0.3911645228
164	0.3911523682
165	0.3909480579
166	0.3909132119
167	0.3908783221
168	0.3903528339
169	0.3902336055
170	0.3900372524
171	0.3898086329
172	0.3897476852
173	0.3896087821
174	0.389418725
175	0.3893935414
176	0.389300677
177	0.3892559937
178	0.3890619141
179	0.3890380859
180	0.3889598682
181	0.3889419862
182	0.388787081
183	0.3885278565
184	0.3884126505
185	0.3881208097
186	0.3880343287
187	0.3879805076
188	0.3879291786
189	0.3878548084
190	0.38768001
191	0.3875460474
192	0.3875460474
193	0.3874414657
194	0.3873329491
195	0.3872176993
196	0.3872178305
197	0.3871128552
198	0.3870995202
199	0.3870886773
200	0.3870172801
201	0.3870037265
202	0.3869605297
203	0.3868857223
204	0.3868319011
205	0.3868028701
206	0.3866390895
207	0.3865376557
208	0.3863511837
209	0.3863002045
210	0.3862755019
211	0.3861959288
212	0.3861377793
213	0.3861125083
214	0.386094495
215	0.3859748731
216	0.3859015085
217	0.3856068259
218	0.385578232
219	0.3855143113
220	0.3854136645
221	0.385277341
222	0.3852606394
223	0.3852190165
224	0.3850737301
225	0.3850683524
226	0.3849979171
227	0.3849476374
228	0.3849447081
229	0.3848670588
230	0.3847504099
231	0.384570365
232	0.3845680914
233	0.3845051325
234	0.3842649269
235	0.3842015307
236	0.3839672712
237	0.3839005959
238	0.3838441515
239	0.3838224657
240	0.3836620079
241	0.3833925963
242	0.383265498
243	0.3832408391
244	0.3831014114
245	0.3829783792
246	0.3829765429
247	0.3829730452
248	0.382971821
249	0.3829459816
250	0.3829074193
251	0.3828949149
252	0.3827053387
253	0.3826137422
254	0.382516156
255	0.3824145473
256	0.3823978894
257	0.3823064241
258	0.3822501983
259	0.3820076754
260	0.3817145667
261	0.3816252875
262	0.3815750953
263	0.381493205
264	0.3814752355
265	0.3814443681
266	0.3812181533
267	0.3811511283
268	0.3811365253
269	0.3809401285
270	0.3807568919
271	0.3807154002
272	0.3805146313
273	0.3804732271
274	0.3803338431
275	0.3803147805
276	0.3801910051
277	0.3801256415
278	0.3801017258
279	0.380040647
280	0.3800308534
281	0.3800064568
282	0.3799392132
283	0.3798324454
284	0.3797769191
285	0.3797417234
286	0.3796456236
287	0.3796224949
288	0.3794509319
289	0.3792333302
290	0.3791688411
291	0.3790224179
292	0.378882553
293	0.3788084888
294	0.3788046851
295	0.3788013185
296	0.3787488527
297	0.3787467541
298	0.3787229696
299	0.3785127569
